;N;S;NC;ND;NH;NS;NNT;SC;SD;SH;SS;SNT
7415;754.AJ73.Q2.Q732;T9.8.AK643.AKT54;10.9;10.1;6.0;5.4;8.2;10.9;10.1;5.8;5.4;8.2
7416;AT9.Q92.J64.AT87;7652.K87.KQT75.4;4.6;7.8;5.6;7.0;6.5;4.6;7.8;5.6;7.0;6.2
7417;T73.J9765.AK7.A9;Q92.82.Q85.KJ873;7.4;6.1;6.6;5.4;6.4;7.4;6.1;6.7;5.4;6.5
7418;A98542.8.T6.KT65;KQJT.AK94.KQ5.A8;9.5;7.6;8.2;11.9;11.2;9.5;7.9;8.0;11.9;11.3
7419;K874.A85.A943.A2;QJT5.J974.K62.Q8;5.0;7.7;7.4;8.7;7.5;4.6;7.5;7.3;8.3;7.1
7420;J43.82.JT543.T95;A9.AK9743.KQ6.A8;4.5;9.4;8.4;4.6;6.8;4.5;9.4;8.4;4.6;6.8
7421;J6.A74.K983.JT98;A32.K52.A76.KQ52;9.2;8.0;7.1;6.0;7.7;9.2;8.0;7.1;6.0;7.7
7422;KQ9863.JT8.K.K65;AJ.KQ9.QJ963.J84;7.3;8.0;7.7;8.9;8.1;7.3;8.0;7.7;8.9;7.9
7423;AKQT.AJ843..KQ65;2.972.QT432.T983;9.8;6.7;9.9;6.7;7.5;9.8;6.9;9.9;6.5;7.6
7424;KT.743.J652.AK87;64.KJT8.AK87.T53;7.5;8.2;7.9;4.9;6.9;7.5;8.4;7.6;5.1;6.6
7425;A9.3.AJ9742.AQ97;T85.9754.T85.654;5.5;8.2;3.2;3.0;3.7;5.5;8.2;3.2;3.0;3.7
7426;AKJ975.762.K4.K5;632.83.AQT7.A762;7.7;8.9;6.3;10.6;8.3;7.7;8.9;6.3;10.6;8.3
7427;T942.JT98.J94.76;A.Q763.K863.AJT4;4.2;5.6;6.8;3.2;4.1;4.3;5.5;6.8;3.2;4.1
7428;A65.QJ9754.63.AT;K4.KT82.AT82.987;5.0;5.9;10.0;4.9;8.1;5.0;5.9;10.0;4.9;8.1
7429;J6.AJ6.T9854.AK4;QT94.K952.A7.873;6.8;7.7;8.1;7.7;7.9;6.7;7.7;8.2;7.7;8.1
7430;K4.AQ5.AK84.J543;32.986.T752.T862;6.0;6.1;4.0;3.1;4.2;5.7;5.8;3.8;3.0;4.1
7431;863.Q87.AKQ965.Q;AK972.AK53.4.862;6.6;11.2;10.3;11.0;7.4;6.6;11.2;10.3;11.0;7.4
7432;954.9643.T74.KQ6;AQJT2.K85.J6.T75;3.5;2.5;4.1;6.0;4.2;3.5;2.5;4.1;6.0;4.2
7433;A98.J3.Q.AT95432;KJT32.Q8.AT86.Q8;10.0;5.4;4.0;8.9;6.9;9.9;5.3;4.0;8.9;6.9
7434;A93.KT72.K.QJ643;QJ87.AQ95.AJ9.AT;11.4;7.9;12.0;11.4;11.6;11.1;8.0;11.9;11.5;11.5
7435;.AKQ93.KT98.Q542;J986.T872.Q764.A;5.6;10.0;10.9;4.2;6.8;5.6;10.1;10.9;4.2;6.9
7436;KQT43.T942.T3.74;9765.AJ85.9.JT86;1.9;1.1;6.3;6.9;1.6;2.0;1.1;6.4;6.9;1.6
7437;3.AT53.JT864.K64;AKJ4.KJ976.A.A32;9.7;9.9;12.9;9.5;11.0;9.6;9.9;12.9;9.5;11.0
7438;T7.QJ864.J93.872;J86.K75.A74.K943;2.8;2.4;5.1;1.8;2.7;2.9;2.5;5.1;1.8;2.8
7439;AQ953.Q32.KQ97.J;874.A5.T8.AKT965;10.0;8.4;6.8;10.0;8.9;9.5;8.1;6.7;9.7;8.4
7440;7.JT874.K73.QT42;KQ9.AK32.T5.KJ96;8.1;3.8;8.6;3.4;5.7;8.1;3.7;8.6;3.6;5.7
7441;Q7.T4.T852.AQ862;A6.A9852.QJ64.73;6.4;7.3;6.3;3.4;4.3;6.5;7.5;6.2;3.4;4.3
7442;.Q65.AKQT9863.Q9;A985.AT7.J2.T854;5.2;10.8;5.3;3.4;10.0;5.4;10.8;5.4;3.4;10.0
7443;7.84.K643.K97642;643.J72.AT2.QJ85;8.0;5.0;1.1;1.1;1.8;8.0;5.0;1.1;1.1;1.8
7444;K976.Q32.Q95.K52;.AJ97.AJ432.A874;9.8;10.5;9.5;5.9;9.1;9.8;10.5;9.5;5.9;9.1
7445;AQ6.AQ6.AJ6.K742;952.J84.83.AQJ96;10.5;6.5;8.0;8.1;10.3;10.5;6.6;8.0;8.1;10.1
7446;KJ962.42.J873.T6;T73.T.Q965.AQJ95;5.7;7.1;2.2;7.0;3.4;5.7;7.1;2.2;7.0;3.4
7447;843.93.AK872.Q96;AQ6.64.J963.AK75;9.1;9.9;5.0;6.1;7.6;9.2;9.9;5.0;6.1;7.6
7448;7.AKT98542.T8.T5;J53..QJ976.K9864;4.4;4.2;7.1;1.6;2.4;4.4;4.3;7.1;1.7;2.4
7449;QJT953.A5.A2.AQ2;A76.KQ62.976.J87;8.5;7.0;9.3;11.6;10.4;8.6;7.0;9.3;11.7;10.4
7450;QT76.83.A764.KJ7;AK853.2.KQJT5.A3;6.8;12.0;5.0;11.9;6.4;6.6;12.0;5.0;11.7;6.4
7451;J63.K952.QJ62.54;KQ754.AJ8.93.JT2;3.8;4.9;6.3;7.1;4.9;3.8;4.9;6.3;7.1;4.9
7452;A864.AJT65.QJ6.J;KJ7.87.K92.AQT72;9.1;8.6;10.0;9.7;10.0;9.2;8.7;10.1;9.7;10.0
7453;832.QJ9.AQT4.QT5;T974.T87642.3.42;1.8;2.2;5.9;2.6;2.0;1.8;1.8;5.9;2.3;1.8
7454;QJ7632.A3..KQJ75;85.KQ4.AJ943.T98;9.3;5.7;5.7;8.9;8.0;9.4;5.8;5.7;9.0;8.1
7455;J2.KJ9872.T7.K92;AQT84.Q6.QJ64.43;3.6;5.1;7.1;6.4;5.4;3.6;5.0;7.0;6.4;5.2
7456;Q4.92.AJ83.Q9876;K862.Q5.K762.K32;7.0;7.1;2.9;4.4;4.4;7.0;7.1;2.9;4.4;4.3
7457;Q643.J94.A84.AKQ;92.765.JT652.953;3.9;5.9;3.5;4.0;4.2;3.9;5.9;3.4;3.9;4.2
7458;7.JT5.AJ97.K9852;AT432.986.Q4.AQ6;8.8;6.9;5.7;5.6;7.4;8.8;6.9;5.7;5.4;7.5
7459;KQJ4.A84.T7.AK64;872.Q952.KQ2.J85;8.3;6.1;8.1;8.0;8.3;8.3;6.0;7.9;8.0;8.3
7460;Q96.J64.Q9.KT973;83.AQ2.KJ86.AQ64;9.2;6.2;5.7;4.8;7.0;9.2;6.5;5.7;4.9;7.0
7461;QJ.AKT3.Q8753.82;986.Q64.AJT.T743;3.6;8.0;6.5;2.9;4.0;3.7;8.0;6.5;2.9;4.0
7462;J.A982.T753.AKQ6;QT74.KT4.AKQ6.T9;9.9;11.5;10.3;8.6;10.7;9.9;11.4;10.4;8.6;10.5
7463;AQT52.T86.93.Q87;843.KQ.A864.KT64;7.3;5.4;4.6;8.5;6.4;7.3;5.4;4.6;8.5;6.4
7464;K.KJ.JT9732.Q754;J62.94.K654.A962;7.0;7.8;2.0;2.2;3.1;7.0;7.8;2.0;2.2;3.1
7465;AKQ875.T8.AJ42.J;.AQ9.KT96.K97653;9.8;11.2;8.0;10.1;9.8;9.8;11.6;8.2;10.6;10.1
7466;743.K97.J432.T86;A96.3.AQT9865.KJ;3.0;8.4;2.5;2.7;6.3;3.1;8.4;2.5;2.7;5.7
7467;9.KJ2.QJ8.AJT754;4.AQ8543.AK42.86;10.2;10.5;10.8;4.3;6.3;10.2;10.5;11.0;4.3;6.3
7468;4.KQT4.Q8.J98753;A3.AJ752.KJ943.6;7.9;9.6;10.9;2.9;6.0;7.9;9.5;10.9;2.9;6.0
7469;KT92.Q7.AJ72.J97;Q643.AJ962.Q8.Q2;6.6;7.3;8.6;9.3;8.0;6.6;7.3;8.6;9.3;8.0
7470;97643.KJ5.T953.5;Q85.A984.J864.K9;1.8;5.4;4.8;5.5;2.8;1.8;5.5;4.8;5.5;3.0
7471;K9.AJT63.AKT2.J9;AQT876.9.65.Q843;8.5;7.6;7.7;10.7;9.6;8.4;7.5;7.6;10.7;9.5
7472;A9632.T984.82.85;8754.3.A76.QJ974;4.9;1.8;1.8;6.2;2.0;4.9;1.8;1.8;6.1;2.0
7473;A63.A965.852.T93;J74.2.AK96.KJ872;8.5;7.3;4.2;5.3;7.2;8.6;7.4;4.3;5.5;7.3
7474;KJ9.T84.AQ42.AK9;A.AQJ5.T97.JT653;11.9;11.2;11.6;8.4;12.0;12.0;11.3;11.5;8.3;12.0
7475;KQ32.J.9864.K954;965.AKT2.AQJ.Q62;8.6;8.8;7.5;8.6;8.5;8.8;8.5;7.5;8.7;8.7
7476;KQJ864.T98.AT87.;A7.AJ.96.AKT9732;10.5;8.3;7.0;10.8;10.0;10.4;8.3;7.4;10.8;10.1
7477;AK73.AJ862.J8.KJ;JT62.95.765.QT86;6.2;4.7;7.1;8.3;6.1;6.2;4.8;7.1;8.3;6.1
7478;A.AQT865.AT963.6;J42.43.K2.K98742;8.1;9.5;10.4;5.7;6.4;8.4;9.5;10.4;5.7;6.6
7479;A4.8.AJ84.KQJ543;J83.652.62.AT976;10.0;4.4;2.6;2.9;7.4;10.0;4.5;2.6;2.9;7.4
7480;A5.Q6432.T4.JT87;Q932.T.A98762.K6;4.5;6.6;4.6;4.2;3.9;4.5;6.6;4.5;4.4;4.0
7481;KQ.J532.AJ85.T32;AJ86543.QT.3.K94;4.8;4.0;4.8;8.7;7.7;4.8;4.0;4.8;8.8;7.6
7482;A2.K764.AJ.AJ632;9843.A5.KQT9.T75;10.8;9.4;8.6;8.0;9.4;10.8;9.4;8.5;8.0;9.2
7483;Q943.AK98.AKJ.63;KJT752.7654.T3.8;4.0;4.6;9.7;9.8;5.9;4.0;4.6;9.7;9.8;5.9
7484;986.97.AQ6.A9632;AQ75.KT8652.J9.7;6.0;5.4;9.2;7.8;6.3;6.3;5.5;9.2;7.8;6.3
7485;T653.KQ2.74.J653;J84.J43.KJ653.92;1.9;3.4;2.6;2.7;2.5;2.0;3.4;2.6;2.8;2.6
7486;97.Q87.JT97.J863;QJT85.K9.A3.AKT2;8.0;6.0;4.8;7.8;6.3;8.2;6.2;5.0;7.9;7.1
7487;3.QT8.KQ9765.964;J7542.6.83.AKQJ3;7.3;7.4;2.6;5.1;4.9;7.2;7.4;2.6;5.0;5.0
7488;A5.AT8542.T7.T98;KQ7.KJ76.AQ2.Q73;7.1;6.1;10.5;6.5;9.5;7.3;6.2;10.5;6.8;10.1
7489;97.T954.KJT53.53;AQ862.A7.AQ84.A7;5.8;11.0;7.1;9.8;8.4;5.8;11.0;7.1;9.8;8.4
7490;K9842.J985.KT.85;QT6.T63.43.QJT64;3.7;0.9;2.2;4.8;1.5;3.7;0.9;2.2;4.7;1.5
7491;2.AT86432.K8432.;KQ853.97.QJ5.876;1.6;7.3;8.6;4.1;3.2;1.6;7.2;8.5;4.3;3.2
7492;JT94.KT93.J64.KQ;7652.J2.Q85.J752;2.8;3.0;3.0;4.1;3.1;2.8;2.8;3.0;4.1;3.1
7493;984.A9.JT6.AQ653;Q3.KT82.A432.JT4;8.1;7.3;5.9;5.0;6.6;8.1;7.2;5.9;4.9;6.5
7494;AJT8.6.T65.J9875;.JT9873.QJ743.T2;3.6;5.2;4.9;2.5;2.8;3.6;5.2;4.9;2.5;2.7
7495;JT74.QJ862.864.3;AK6.KT74.AK7.AT8;5.4;8.0;11.3;10.2;8.6;5.4;8.0;11.3;10.2;8.7
7496;J73.KT765.A.AKJT;T65.QJ3.Q3.Q9875;8.4;2.2;7.9;3.0;6.0;8.4;2.2;7.9;3.0;6.0
7497;AKT853.7.A85.KQ6;J2.62.Q763.J9852;9.1;7.7;3.8;9.1;6.0;9.0;7.8;3.8;9.2;6.0
7498;QT654.Q.A83.J865;9.K97532.T97.Q43;3.5;2.4;4.5;2.9;2.8;3.7;2.4;4.5;2.9;2.8
7499;JT7.QJ62.J432.J8;Q8632.T97.K65.53;0.6;2.1;2.8;4.0;1.6;0.6;2.2;2.8;4.0;1.6
7500;K93.J82.AQJ52.63;QT87.AKQ3.K86.75;5.4;9.8;9.2;8.7;6.3;5.4;9.8;9.3;8.9;6.3
7501;Q653.9765.AT5.97;AJT8..KJ82.KQJT2;9.8;9.5;5.0;10.8;6.0;9.8;9.5;5.0;10.8;6.1
7502;AJT.AQJ3.AJ872.Q;3.K7.KT.JT875432;10.8;9.9;9.2;6.4;9.7;10.8;9.8;9.3;6.5;9.7
7503;KJ98.63.AJ9.Q875;A2.AQ987.542.AT2;9.9;8.9;9.9;9.4;9.9;9.9;8.7;9.8;9.2;9.9
7504;AQJ7.AK43.KJ74.T;86.Q5.Q863.K7642;7.5;10.1;7.9;7.8;8.6;7.1;10.0;7.8;7.8;8.4
7505;K9.KT.6.AQJT9843;A654.AQ954.53.62;11.3;4.4;10.0;7.1;7.0;11.4;4.6;10.0;7.1;7.0
7506;AQ3.8.K87.AKJT86;J987.AQJ92.Q42.2;10.5;8.9;9.6;10.5;10.1;10.4;8.8;9.7;10.6;10.1
7507;KQT864.A2.94.653;97.J73.AK86.JT87;5.2;4.8;4.3;7.6;4.5;5.1;4.9;4.1;7.6;4.4
7508;852.K74.AJT6.T98;KJ.QT8.Q7.KQJ532;8.8;6.3;5.8;4.8;6.7;8.8;6.3;5.8;4.8;6.7
7509;QT8542.6.85.KT32;J6.A8432.K963.J8;3.6;2.6;2.6;6.6;2.5;3.6;2.8;2.6;6.6;2.5
7510;AQ873.9.QT5.AQJ4;9.Q4.J87432.8753;8.6;9.1;3.2;5.4;4.0;8.5;9.1;3.2;5.3;4.0
7511;Q86.T862.K72.Q92;JT72.AK43.93.763;2.6;2.2;5.0;4.7;3.0;2.3;2.0;4.9;4.6;2.7
7512;Q.AT5.A5.QJT9742;K8654.QJ43.7.A85;11.2;4.3;9.7;7.7;9.4;11.2;4.3;9.7;7.7;9.4
7513;T752.J94.K.KT763;Q9.KT7632.A32.A9;7.7;4.3;9.6;6.1;7.7;7.7;4.3;9.6;6.2;7.7
7514;74.J976.862.AQ76;J98653..AJT5.J84;5.3;5.0;2.9;7.3;3.8;5.3;5.2;2.9;7.4;3.7
7515;72.A932.K.AKQ752;KT5.T76.863.JT43;8.5;2.4;6.1;2.6;5.3;8.5;2.4;6.1;2.7;5.3
7516;QJ6.AK3.AKQ53.A5;753.72.86.Q98642;9.3;8.8;5.9;7.0;7.6;9.3;8.8;5.9;7.0;7.6
7517;T942.T973.75432.;K76.2.AJT9.AKJ54;5.3;9.0;4.3;6.3;4.4;5.3;9.0;4.3;6.3;4.5
7518;KQ.K64.KQ73.AQJ9;A6.JT87.T964.862;8.1;9.3;8.3;5.1;7.5;8.1;9.1;8.3;5.2;7.5
7519;J65.J43.AQ873.65;K842.Q8752.65.Q3;1.3;3.4;5.2;3.6;2.0;1.4;3.3;5.2;3.4;2.0
7520;KQ643.K854.64.87;A7.JT92.A9.AQT32;8.8;5.4;9.6;8.7;6.8;8.7;5.4;9.6;8.7;6.8
7521;86.AK8652.K5.A86;QJ4.T93.T96.QJ53;7.0;4.3;8.3;4.3;6.9;7.0;4.2;8.2;4.3;6.8
7522;96.QJ632.Q65.AK4;JT53.T985.7.J752;4.4;1.4;6.8;2.7;2.4;4.4;1.3;6.7;2.7;2.2
7523;T832.A832.86.K92;K974.Q96.KT72.A8;4.4;5.3;6.5;7.5;5.3;4.6;5.6;6.6;7.8;5.3
7524;J7.A7.Q53.KQ9876;KT86.KT54.A4.T53;9.5;5.9;6.8;7.2;8.7;9.6;5.9;6.9;7.3;8.7
7525;Q873.KQ2.AQ32.Q3;AKJ2.3.KJ87.8754;6.8;9.5;4.7;9.3;8.5;6.6;9.4;4.7;9.4;8.5
7526;8.J4.AK62.KQJT75;T542.Q9865.T75.4;6.8;6.4;5.1;3.3;5.3;6.8;6.3;5.0;3.3;5.3
7527;7.AJ98.KQ62.J853;965.7643.AT9.K92;6.8;7.1;8.3;3.9;5.0;6.8;7.1;8.3;3.9;5.0
7528;5.K72.AT53.A7432;KQ963.JT3.Q82.85;6.0;6.5;5.4;6.1;5.7;6.0;6.6;5.3;6.0;5.7
7529;KQJ93.8642.J63.8;86.Q95.KQ852.654;0.9;5.3;2.7;4.6;2.2;0.9;5.4;2.7;4.6;2.2
7530;QJ94.QJ.Q92.AJ75;A.AKT7.A754.K642;11.6;10.5;10.5;9.5;10.9;11.5;10.5;10.4;9.1;10.7
7531;842.T42.72.87652;76.Q73.A9843.KQ4;4.3;3.2;1.4;1.4;1.4;4.3;3.3;1.6;1.4;1.4
7532;JT7.T982.AQ.K754;Q62.KQJ5.K9.AT92;8.3;4.8;8.6;6.1;7.5;8.3;4.8;8.6;6.1;7.5
7533;AQ.Q85.AJ653.A75;97652.AT96.74.T8;4.9;7.6;7.9;7.5;6.4;4.8;7.4;7.7;7.4;6.4
7534;KQJ9762.K7.KT85.;T4.9642.Q3.QJ654;2.9;4.3;3.6;8.7;4.3;2.9;4.2;3.5;8.5;4.2
7535;T2.AT8763.A84.96;AKJ865.Q52.5.Q84;3.9;3.7;9.9;9.1;6.8;4.2;3.7;9.9;9.2;6.8
7536;AT84.Q84.J7.KQ32;KQ532.52.T62.AJ5;8.0;3.5;3.2;8.8;3.8;8.0;3.5;2.9;8.8;3.4
7537;AJ7.876.K96.AQ74;K932.AKT54.Q2.JT;9.5;7.8;10.6;10.1;10.5;9.4;7.6;10.6;10.1;10.7
7538;6.Q7.AT54.K97653;93.98653.983.Q42;6.5;3.2;3.8;1.1;1.2;6.5;3.2;3.9;1.1;1.2
7539;KJ84.KT2.A.J7432;Q96.Q83.T85432.K;5.8;6.4;4.6;6.1;5.1;5.8;6.4;4.6;6.1;5.2
7540;9842.KQ76.A843.8;AK5.T52.K2.KQ963;8.1;7.6;8.9;8.5;7.8;8.1;7.5;9.0;8.6;7.8
7541;K9.A976.A72.T974;87542.KQ82.QT6.3;3.8;5.0;8.1;6.9;5.2;3.7;4.9;8.0;6.9;5.1
7542;Q.A87652.QJ5.832;K972.QJ94.K93.T7;2.6;4.1;8.0;3.3;4.0;2.6;4.1;8.0;3.3;4.0
7543;AJ832.AJ3.K93.62;T4.62.T8542.KJT3;5.2;7.1;3.9;5.8;5.0;5.3;7.0;3.9;5.6;4.8
7544;K764.42.J9865.J7;JT92.65.KT4.AT92;3.9;5.8;2.2;6.3;3.2;3.9;5.8;2.2;6.3;3.2
7545;T9.QT9543.962.87;A8642.8.J84.KJT6;3.2;2.3;4.4;3.6;2.4;3.2;2.3;4.4;3.6;2.3
7546;53.KQJ742.JT7.K6;QJ.A653.K52.A843;5.1;4.8;8.5;2.9;6.0;5.2;4.8;8.5;2.9;6.0
7547;J93.K743.84.9843;KT54.AT.AJ7.KQT5;8.6;5.3;6.1;7.9;6.8;8.7;5.4;6.2;8.0;7.2
7548;K532.5.T86.T9842;96.98762.KQ4.KQ5;5.7;3.0;3.1;2.8;2.7;5.7;3.0;3.2;2.8;2.7
7549;AKQ.A76.AK865.T3;97653.3.QJ73.KQ7;6.4;11.8;5.5;11.5;10.6;6.4;11.9;5.5;11.5;10.6
7550;J973.K75.8642.87;T84.J96.J75.Q962;1.4;1.1;1.1;1.4;1.1;1.4;1.1;1.1;1.4;1.1
7551;AQT843.J84.K7.K9;J5.65.Q9.QJT8542;8.2;2.2;2.1;7.1;3.0;8.2;2.2;2.0;7.1;2.9
7552;KQJT54.Q.K3.AT54;A76.KT654.AQ52.3;7.7;9.6;9.5;12.0;10.3;7.6;9.5;9.5;12.0;10.3
7553;J.T76.74.JT98752;9864.8.QJ63.AKQ6;9.0;1.5;0.2;0.4;0.9;9.0;1.5;0.2;0.4;0.9
7554;96.QT83.KQT52.A4;J32.AKJ97642..K6;3.0;5.2;11.0;3.5;7.1;3.0;5.2;11.0;3.5;7.1
7555;73.AQJT.AT864.QT;AT654.954.J93.98;3.3;7.6;6.4;5.7;4.4;3.2;7.4;6.4;5.7;4.4
7556;KT6.K932.832.954;Q8532.64.A96.J62;1.5;1.5;1.9;4.6;1.7;1.5;1.5;1.9;4.6;1.7
7557;A8.K753.9643.873;6.QT9864.T2.9652;1.7;1.0;6.9;1.0;1.0;1.7;1.0;6.9;1.0;1.0
7558;Q97654.3.QT7.972;2.954.A95.KQT643;7.2;2.8;1.7;5.6;3.5;7.3;3.2;1.8;5.6;3.5
7559;765.Q6.QT953.862;AKT832.A9874..T4;3.1;4.1;6.4;9.1;4.7;3.1;4.1;6.4;9.1;4.7
7560;862.J7.KQ632.T76;AJT97.832.974.A2;2.2;6.0;2.0;6.3;2.9;2.3;6.0;2.0;6.3;2.9
7561;AK872.A875.94.53;Q.K9.AK865.AQT76;11.4;10.8;10.3;11.3;10.5;11.5;10.8;10.4;11.3;10.6
7562;J9754.T862.6.T92;2.QJ5.AK954.QJ54;4.8;4.2;4.9;3.6;3.4;4.8;4.2;4.9;3.6;3.5
7563;J.K987.A97532.42;KT9865.T4.T86.97;1.5;5.6;2.8;5.4;2.2;1.5;5.6;2.8;5.4;2.2
7564;AT96.KJ54.K94.T7;873.T762.AT.J432;4.3;3.7;6.7;5.5;5.0;4.3;3.7;6.7;5.5;5.0
7565;9732.QJ8732..J75;AQT54.K4.KT2.A62;4.9;3.1;9.4;9.8;5.2;5.0;3.3;9.5;9.8;5.4
7566;AJ42.Q986.Q6.943;Q9.KT5.A43.J8652;7.3;4.5;7.0;5.5;6.1;7.3;4.4;6.9;5.5;6.0
7567;AQ876.QJ7.A6.JT2;K932.842.KJ3.975;5.1;4.2;4.6;7.6;6.9;5.1;4.1;4.7;7.4;6.7
7568;8.AKT2.J64.QT986;A96.QJ75.K98.AJ2;10.4;7.6;10.6;5.3;8.4;10.4;7.7;10.8;5.3;8.4
7569;QJ84.72.QT876.KQ;AK75.J943.5.A932;6.6;7.0;5.8;9.2;5.9;6.6;7.0;5.8;9.2;5.9
7570;4.QJ84.KT43.J972;K93..Q98652.K654;7.1;8.8;2.2;2.0;3.2;7.2;8.8;2.2;2.0;3.2
7571;A96..95.AKQJ8642;KQJT8532.JT.84.7;9.8;0.9;0.8;11.0;1.3;9.8;0.9;0.8;11.0;1.3
7572;T95.AQ84.A.AKQ75;K84.K6.KQJT9864.;9.0;11.5;9.5;8.9;11.6;9.2;11.8;9.6;9.1;12.0
7573;K8632.73.JT93.73;A97.AJ2.K765.J94;3.4;7.1;3.1;7.0;4.1;3.5;7.1;3.2;7.1;4.2
7574;AKQ72.532.KJ4.T3;J854.AJT4.85.Q52;3.8;3.9;7.1;8.6;6.0;3.9;3.8;7.1;8.7;6.2
7575;A3.KQJ72.AQ954.8;Q96542.A3.K.AT92;8.5;10.8;11.8;11.0;10.6;8.5;10.8;11.8;11.0;10.6
7576;65.A972.AT87632.;KT73.KJ8.Q.AQ874;6.9;9.8;9.0;7.4;7.4;7.1;10.0;9.3;7.7;7.5
7577;7.Q732.Q8652.964;K982.J6.J74.A753;2.4;4.9;3.0;2.0;2.3;2.4;5.0;3.0;2.0;2.3
7578;J87.AJT6.AQJ.A94;K94.953.T74.QJ85;8.1;7.3;8.4;7.2;8.2;8.0;7.0;8.0;7.0;8.0
7579;KQJ4.T.QJ632.KJ5;96532.A96.87.832;3.3;5.7;2.1;7.6;4.2;3.3;5.7;2.1;7.6;4.2
7580;AJ9.AQ92.T65.974;72.T6.9432.KQJT3;7.4;5.9;4.8;3.7;5.8;7.4;5.9;4.7;3.6;5.7
7581;J43.KT6.AJ43.J62;AQT975.94.Q7652.;3.1;10.6;3.3;10.3;4.8;3.1;10.3;3.3;10.3;4.8
7582;KQ75..9752.AK762;A.KQJT6.AQJ6.J83;12.2;12.3;10.7;10.0;11.4;12.3;12.0;11.1;10.0;11.6
7583;4.QJ873.Q853.Q87;K876.954.T.J9653;4.6;1.6;4.2;1.2;1.3;4.5;1.5;4.2;1.2;1.3
7584;K83.874.T975.AJT;Q965.QT52.AJ43.2;3.7;6.8;5.7;5.8;5.5;3.7;6.9;5.7;5.6;5.4
7585;QJ5.A86.Q754.T74;K973.T5.T2.AKJ62;8.5;5.5;4.4;7.8;6.1;8.5;5.6;4.4;7.8;6.1
7586;QJ972.4.AKJ876.J;K6.QJ7653.93.K83;4.0;9.1;6.7;8.6;6.3;4.1;9.1;6.7;8.6;6.5
7587;3.J543.AJT72.AJ5;AJT8754.K87..876;6.5;6.1;6.7;8.1;5.7;6.4;6.0;6.8;8.1;5.3
7588;KJ987.J4.86.Q983;A.T7652.KQJ5.K64;6.7;5.5;6.2;6.4;6.0;6.8;5.5;6.1;6.4;6.1
7589;AQJ2.A98.AT94.T7;94.KQT62.753.J96;4.7;7.2;8.1;6.1;7.0;4.7;7.1;8.1;6.0;7.0
7590;8752.64.AKT54.AJ;AJ.Q875.Q92.K542;7.0;9.8;7.0;7.1;8.6;7.2;9.8;7.2;7.0;8.6
7591;T.Q9532.J3.KQ542;Q975.J8.A62.JT93;7.8;2.4;5.1;2.4;3.4;7.8;2.4;5.2;2.6;3.5
7592;T932.K65.QJ7.J92;KQ875.AJ32.T4.73;3.8;3.3;5.9;7.3;4.4;3.8;3.3;5.9;7.3;4.4
7593;98653.KQ64.KJ7.4;AJT.J873.T32.KJ3;3.9;5.0;7.5;7.5;5.7;3.9;5.0;7.5;7.5;5.8
7594;KT42.KT76.8.A762;Q763.853.K9.KJ93;7.8;3.6;6.7;8.0;5.1;7.8;3.6;6.9;8.0;5.1
7595;QJT5.K.A7.T87532;A76.J932.KJ643.K;7.5;7.4;5.6;7.5;6.7;7.6;7.4;5.6;7.6;6.8
7596;QJ85.KQJ.J984.T5;A97432.8543.63.2;0.6;2.0;5.0;7.5;1.7;0.5;2.0;5.0;7.5;1.7
7597;76.A97.QJ82.J872;KQ953.KT86.43.93;4.2;4.4;5.7;5.7;4.8;4.1;4.0;5.6;5.7;4.6
7598;A643.Q2.KQ32.T53;J.986.AJ954.A864;6.7;9.0;3.8;3.8;7.0;6.7;9.0;3.8;3.8;7.0
7599;Q6543.QJ8.Q6.642;J7.AT65.953.QT83;3.1;1.9;3.7;4.1;2.5;3.4;1.9;3.7;4.3;2.5
7600;T8762.JT7.A4.AT3;AQ953.Q5.QJ3.K74;6.6;5.7;5.7;9.9;8.7;6.5;5.8;5.9;9.8;8.8
7601;974.Q854.KQ7.963;KT62.KJ93.4.AKJ2;7.1;4.5;8.2;6.8;6.9;7.1;4.4;8.2;6.8;6.8
7602;AJ854.Q98632..A8;Q93.AJ74.T652.96;3.5;3.1;11.5;10.4;6.1;3.5;3.0;11.5;10.4;6.1
7603;5.AT3.T43.QJ8642;74.KJ754.QJ97.AK;9.1;8.0;8.7;3.6;5.0;9.1;8.0;8.7;3.6;5.0
7604;63.KQ4.Q9864.K62;JT852.8763.7.A53;3.7;4.5;4.6;5.0;3.4;3.7;4.5;4.5;5.0;3.4
7605;AKQ9842.T8.87.QJ;653.76.KT93.AT86;5.5;5.2;3.4;9.3;6.2;5.6;5.3;3.4;9.3;6.2
7606;K7652.QT653.K8.8;AT3.J74.J4.QJ974;5.2;2.6;7.0;7.2;4.1;5.2;2.6;7.0;7.2;4.1
7607;K9853.52.A832.J5;QJ.T6.KJ6.AT9764;7.7;7.3;4.0;7.7;5.1;7.7;7.3;4.0;7.7;5.1
7608;65.JT9.AKJ65.987;9432.732.3.AKQJT;7.7;5.8;4.0;4.3;4.3;7.7;5.8;3.9;4.3;4.3
7609;QJT8.KQJ972.AJ.8;AK2.54.654.KT974;6.4;5.2;9.8;8.7;7.2;6.4;5.2;9.8;8.7;7.2
7610;J76.962.K9854.75;53.QT873.Q.AKQJ2;6.1;4.4;6.9;3.3;4.6;6.1;4.4;6.9;3.3;4.6
