;PBN;OPENING
455;97.J8765.87.9654;PASS
290;T4.AQ8.KJ432.Q75;1D
727;QT7.AQ42.K.K9854;2C
1149;KQ98.Q952.5.J764;PASS
934;K74.9853.743.Q97;PASS
883;K63.T875.K872.Q4;PASS
543;A5.QJT52.A2.Q762;1H
1172;KQ3.KJ8543.94.98;2D
1063;AQ86.54.753.J965;PASS
9;K85.K9854.84.AKJ;1N
270;K7.AKT83.8642.K6;1H
554;QT9.JT6.KQ2.Q543;PASS
417;AQJ6.76.AJ.AKT65;1C
136;K83.9876.932.AQ8;PASS
351;873.K72.QJ865.J4;PASS
75;AT52.KJ6.76.9632;PASS
1212;J875.AJ92.K32.KJ;1C
282;T5.AK643.K862.94;PASS
69;KQ93.A732.AT85.Q;1D
898;3.AK73.JT963.A73;1D
632;K7.Q72.952.JT762;PASS
873;K92.AQJ85.6.AQJT;1H
848;T98.KJT974.T9.Q4;2D
372;KQ.K87.KJ954.AT7;1N
238;.JT873.A873.T542;PASS
961;97432.J86.KQ8.65;PASS
1185;KJ.K96.AQJ74.A65;1C
851;K.4.KT7.AKQJT752;1C
444;AJ6.863.Q52.K953;PASS
724;K86.J74.J864.983;PASS
332;QJ8.AK943.2.J983;1H
822;86.74.A53.AK9854;2C
1189;96.KJT987.KQ85.7;1H
826;J72.97532.75.AQ3;PASS
421;T963.KJ.KJ75.763;PASS
769;6.Q9875.Q972.QT6;PASS
216;Q853.KQ6.942.873;PASS
309;KQ5.K94.A9432.T9;1D
571;JT9832..KQ9.AJ64;1S
718;T976.A9732.AT2.3;PASS
564;K75.T65.8754.J76;PASS
1070;6542..753.AKJ962;PASS
350;T964.KJT.853.AKQ;1C
53;98754.KT842.KJ.T;PASS
557;Q3.AQT64.AT.JT62;1H
261;K54.AQJ4.Q93.862;1C
1143;5432.KT852.AKJ4.;1H
327;AKQ85.964.J95.65;PASS
13;32.95.A54.JT8764;PASS
1126;Q832.873.K54.AT8;PASS
137;K.QT5.98743.QT63;PASS
92;AK86.AJ843..J842;1H
746;T4.AK7.K9873.JT3;PASS
852;T9853.KQJ7.5.432;PASS
164;AQJ65.K962.84.83;PASS
749;T763.8.J852.K762;PASS
705;QJ75.Q852.T986.5;PASS
615;Q9872.Q.AKQ.9432;1S
1037;QJ83.AK6.976.K93;1C
725;QT32.KT85.T32.T2;PASS
825;T9742.Q84.98.T73;PASS
343;96.A9.T965.AK965;PASS
1002;QJ2.T32.J93.AJ75;PASS
940;72.JT985.K63.T62;PASS
714;AQ752.A.T92.J652;PASS
919;Q.T98764.A64.AK7;1H
11;KQT32.K9.AJ9.KT4;1N
922;QJ9862.AKQ6.9.K4;1S
1114;J2.K653.A3.AJT74;2C
692;82.98.QJ92.KQT98;PASS
858;QJ643.9.K.QT8762;2S
903;KQJ5432.932.72.J;3S
1138;K2.852.A9873.964;PASS
481;AKJ965.973.72.K3;1S
370;Q92.J76.J8764.J6;PASS
600;A3.AK76.T952.A53;1N
341;52.T6532.7652.KT;PASS
384;2.QJ972.AK8.AKQ7;1C
474;62.AQ.97543.9653;PASS
841;Q84.753.Q9.KJT53;PASS
307;T8432.AJ76.3.JT4;2H
732;KQ872.AK4.7.AT32;1S
907;A.QJ98.KJ93.9863;PASS
874;AQ5.876.762.T765;PASS
1079;9853.A5.T43.KJ95;PASS
775;84.AKQJ3.K87.J76;1H
527;T.AT97.J762.J752;PASS
764;J9876.T975.87.AJ;PASS
1003;J654.974.T85.K95;PASS
378;QT4.KT7.432.A964;PASS
1211;Q43.KQ7532.A65.3;1H
793;K.J96543.74.8764;PASS
575;953.964.AQ96.Q84;PASS
649;AQT74.976.642.Q5;PASS
624;85.QJ93.4.JT5432;PASS
140;AKJ53.Q3.T643.72;PASS
259;AT93.K75.AT8.AJ8;1N
894;T8.63.Q84.AK9874;PASS
779;64.832.KJ973.954;PASS
105;K652.KJ8.962.KT3;PASS
800;QJ73.AK.QJ5.A632;1N
911;JT4.AKQ874.62.J3;1H
955;95.8632.AK753.T6;PASS
412;J82.A84.94.AKJ93;1C
1166;42.T75.K32.Q9742;PASS
1019;9632.972.A52.K94;PASS
653;T84.Q83.J652.KQT;PASS
763;8.A742.AKQJ53.A4;1C
1167;K.J54.AQT7.K7632;1D
987;Q65.J73.T76.A653;PASS
479;AT.AQJT73.Q95.T4;1H
569;Q32.K976.92.A862;PASS
1041;QT42.T63.6.AQ976;PASS
37;KQ32.JT32.95.964;PASS
179;JT96543.2.4.JT42;3S
5;T6.T42.Q6.KQJ742;3C
161;72.83.Q8532.9762;PASS
21;85.Q76543.A2.K42;PASS
1116;KQ87.J53.KQ843.K;1D
619;Q93.762.A986.Q85;PASS
157;K6.JT6.KJT2.K876;PASS
521;AQJ54.J83.K4.A62;1N
319;T2.Q742.KQ64.KJ2;PASS
3;A52.J76.AT.T7642;PASS
596;K9.AT64.843.J876;PASS
194;J82.KQ5.A952.K87;1C
188;982.J.653.AJ8643;3C
503;AQ98.862.87.K962;PASS
659;Q95.A4.K8532.K93;1D
1072;JT32.KQ8.K87.Q42;PASS
936;J.Q986.Q8764.J42;PASS
111;9875.K93.Q93.KQ7;PASS
996;JT73.4.Q8543.A72;PASS
471;AQJ9653..T762.KQ;1S
159;T32.KQ92.Q9.8753;PASS
253;AT2.AT.K962.KJ97;1N
604;A6.2.KJ843.A9875;1D
1012;K97.J9.94.AJT843;3C
1087;53.T985.A742.AQ2;PASS
547;73.972.A764.QT97;PASS
1104;3.A95432.T32.AT3;2D
394;KT652.42.97.KQJ3;PASS
670;AJ63.A972.9863.7;PASS
899;KJT83.753.T87.KQ;PASS
54;T953.KQ6.A93.KQ3;1C
798;862.Q.AQ942.KQ83;1D
180;AKT74.5.QT.AT632;1S
1136;A5.AK76.AQ92.KJ6;1C
648;KQ954.J432.87.T9;PASS
785;A542.J3.J92.Q543;PASS
1168;A95.JT84.832.T54;PASS
283;83.74.AQ98543.A3;1D
1200;QJ862.96.A93.832;PASS
353;T52.J982.A76.T62;PASS
304;KT43.K9852.K.QT8;PASS
565;A2.AK9.K972.J762;1N
285;84.8.KQJT93.KQT2;1D
43;AK.AT52.4.AK9854;1C
1105;A93.954.J976.AQ6;PASS
613;875.762.52.AKQJ3;PASS
277;762.AQ8.Q8.K8743;PASS
382;JT.J86.6.JT96543;PASS
507;9.9874.T75.AJ765;PASS
812;AQ94.A86.QJ5.Q95;1N
386;743.KQ865.J975.J;PASS
676;J85.K52.AT97.T72;PASS
691;AT.AJ4.T5.AQJ842;1C
629;AKJ96.K6.T84.AQ7;1C
628;J72.73.9.AJT7652;3C
1021;AJT2.KQ8.74.AQ32;1N
336;AQ54.92.64.AJ874;2C
1137;Q9.KJT865.A54.A5;1H
1098;KT8.QJ843.QJ8.A7;1H
817;J6.QJT42.K32.J95;PASS
572;AQJT6.J73.9864.J;PASS
570;KT3.86.QT87.Q963;PASS
525;73.T864.J.J98762;PASS
1174;AT643.94.Q542.Q3;PASS
603;A984.654.A754.A5;1C
566;QJT3.K.AQJ63.AQT;1C
843;AK.973.A943.Q872;1C
862;.JT54.942.AKT965;PASS
658;T85.T964.QT6.987;PASS
1176;J3.QJT6.T83.K972;PASS
1201;K4.J73.763.K8532;PASS
533;Q9.A8764.652.K87;PASS
627;A874.AQT8.J.AQT9;1C
301;J9.J7542.AQ64.J7;3D
331;743.J8762.T65.43;PASS
279;AJT986.764.Q4.73;2D
357;532.J74.AJT.Q985;PASS
1016;5.82.AKQ84.A7542;1D
532;JT6.KJ7.742.AT74;PASS
1193;J6.A76.964.AQJ72;1C
1082;A63.872.Q763.763;PASS
611;KQJT7.A4.JT84.74;1S
265;AKT64.AT32.87.Q7;1S
452;J9.KJT54.AQ5.AKJ;1C
523;T84.T.KQJ986.A54;1D
686;QJ973.75.T9.9763;PASS
771;QJ.KT943.AQ9.AJ5;1N
701;K982.J73.K843.83;PASS
1085;97.A6.AJ94.KT984;1D
823;Q976.A76.KQ6.J42;PASS
814;QT982.963.K74.63;PASS
487;AJ.KQ64.JT753.Q6;1D
63;T.KT42.QJ42.AQT8;1D
997;QJ83.Q74.AQ5.AT8;1N
864;Q76542.A73.73.75;PASS
133;K54.T.AT74.AT852;1C
104;T7542.KT3.K86.Q5;PASS
846;AK63.T75.J965.Q9;PASS
418;KQ92.Q9.KT75.752;PASS
815;AK.K863.AQJ5.KJ5;1C
1092;K96.J6.JT854.543;PASS
142;QJT2.Q63.KJ7.Q87;PASS
1026;95432.9.QT64.873;PASS
598;T.AQT984.T643.AQ;1H
472;AKQT5.A94.AK9.53;1C
923;J8765.KJ93.6.AJ7;PASS
316;KT75.A3.KJ85.K64;1C
721;8654.Q64.QT.7542;PASS
869;Q93.A6543.K4.843;PASS
537;J2.AKT3.QJ7.KQ85;1N
801;A63.KQ.A87.QJ865;1N
908;QT6.T8763.J.JT65;PASS
40;QJT842.KQ5.J863.;2D
830;7.K97532.J8.A864;PASS
660;5.7632.Q875.Q874;PASS
1073;J93.Q42.AKJ94.K7;1D
1158;Q9632.98.AT987.6;2S
678;J9842.T.KQ7.9864;PASS
376;AT8432.K63.Q98.Q;PASS
734;QJ76.974.AJ542.Q;PASS
882;3.AQT9632.QJ53.5;1H
623;QJT94.Q8.Q94.AT5;PASS
1089;9.86.94.AQJ96532;3C
1205;Q632.AK5.A87.KQ3;1C
675;6.AKT642.AT52.J2;1H
549;KQ542.K97.5.8653;PASS
453;A852.QT9853.2.A5;1H
895;KJ74.QJT.KQT.T95;1C
278;J.AK42.J72.AQJ43;1C
404;T6542.T32.QJ8.95;PASS
98;QT52.95.A84.8765;PASS
442;AKT9.T975.Q76.85;PASS
962;QJ64.Q4.42.KQT65;PASS
482;QJ742.72.AQ63.J2;PASS
1052;KT7.AT84.QJ7.KQ6;1N
1086;A9.K763.9854.975;PASS
932;86.Q4.T985.K7632;PASS
1032;AKJ82.K92.QJT9.5;1S
60;KQT98.T9.A92.K86;1S
91;K96.764.82.AT984;PASS
467;QJ3.AJ4.KJT8.K95;1N
1170;Q982.QJ4.JT8.T95;PASS
371;94.KQ82.82.K5432;PASS
77;QT95.QJ973.63.76;PASS
980;.KQJT732.9.T9654;4H
870;K83.J94.A62.AJ96;1C
143;AJT7.AJ832.5.J98;1H
646;92.AQT.952.AT853;PASS
807;K73.KJT3.86.J754;PASS
766;AJ8762.62.T742.2;PASS
1001;7.J9852.A2.AKJT7;1H
1083;J4.AQJT5.K75.652;1H
591;A.AK9.Q6532.AK97;1C
124;QJ753.3.K54.AQ93;1S
498;KQ7.QJT.7652.A85;1C
448;AQT7.AQ83.QJ97.6;1D
288;AK52.Q.6432.AT85;1C
99;K3.Q763.T32.QJ94;PASS
315;AJ965.Q9.QJ9.T52;PASS
824;62.JT65.AT832.AQ;PASS
1101;T53.AT876.K943.K;PASS
748;AJ82.Q92.94.A843;PASS
845;A8.KJ73.K3.AJ742;1C
583;J4.AQJ5.AT6.Q862;1C
182;AQ2.K732.K97.AK9;1C
918;A3.Q4.AKT643.763;1D
550;A75.QT95.Q754.KT;PASS
1119;AT654.8743.953.6;PASS
917;A82.873.952.J543;PASS
1075;K52.K864.KQ7.J42;1C
794;AT3.AK52.J32.KT9;1N
1125;4.QJ92.98654.764;PASS
780;96.QJ96.AKQ7.Q85;1C
1013;.J52.AKT86.JT764;2N
803;Q72.K5.JT7.A8532;PASS
689;A8.Q62.AKJ53.A73;1C
28;42.A9.T9853.J872;PASS
338;K9854..K85.KQ875;1S
818;AK9.K6.AK97.Q942;1C
38;Q4.QJ873.K3.JT94;PASS
1110;A6432.K52.J8.AQ5;1S
715;T32.QT63.984.974;PASS
938;T73.QT4.K.KT9832;PASS
297;J654.T7652.QT2.K;PASS
662;6.KQJ852.A7.7432;1H
1144;T5.T4.KQ842.A632;PASS
827;765.AJ52.K96.T96;PASS
607;J94.T93.Q82.AJ62;PASS
431;J97.QJ85.T7.KJ84;PASS
1015;J8.J32.KT9875.32;PASS
964;T5.Q64.AKT76.KQ2;1D
1100;876.KJ43.K8.Q543;PASS
329;AK642.Q.K9753.93;1S
756;K3.AQJ.J9632.A93;1N
1109;QJ6.T98.852.JT73;PASS
758;KT.82.JT98754.97;PASS
1129;Q.AJ8753.AT64.Q8;1H
1184;AQ74.AJ62.AQJ.T2;1C
377;Q4.743.A743.T987;PASS
447;KQT943.64.AJ43.3;1S
183;64.2.KQJ75.KQJ93;1D
169;743.J97.QJT9.AKT;1C
574;976.KJ63.Q843.K5;PASS
296;T4.QJ762.J7.QJ93;PASS
464;874.AQJ32.K65.85;PASS
451;53.Q653.T86.T876;PASS
1030;JT.Q653.J5.KJ865;PASS
222;T876.J63.42.AJ65;PASS
558;95.AQJ83.Q863.J9;PASS
509;85.73.KT87.K9874;PASS
584;JT72.KJ.A7632.42;PASS
1180;AKJ54.KQ6.K86.T4;1S
511;832.AK97.73.J762;PASS
796;T632.Q84.654.AT3;PASS
731;AK6.AT53.74.AQT6;1C
74;Q975.A84.5.AT954;PASS
593;Q5.AQ75.32.KQT84;2C
1147;T952.9.Q652.Q742;PASS
1048;J654.QT.A975.J75;PASS
345;K832.AQ94.2.Q763;1C
1010;T9874.43.KQ52.84;PASS
395;A82.QJ753.T6.AJ4;1H
339;T8753.7632.74.85;PASS
130;43.T63.KJT8.T983;PASS
1164;KQJ32.A.A82.KQ53;1C
52;84.942.A632.AKJ6;1C
965;T43.KJ853.K6.A42;PASS
667;86.J743.9.KQJT83;PASS
856;AK76.Q83.J8.9875;PASS
79;753.T9875..T9653;PASS
206;76.KJT9764.9.QT4;3H
983;K65.A852.K9.AJ92;1N
563;54.T7.AJ62.QJ952;PASS
322;5.Q9765.AQT4.J96;PASS
551;Q742.Q763.3.7652;PASS
1076;J5.K.KQJT952.872;3D
1179;J8.AQ4.QJ5.A9832;1N
324;KJ83.Q.J43.T9876;PASS
561;K5.J7.T6.KQJ8653;2C
64;AKT94.Q52.K985.Q;1S
115;J542.AQ.K8653.73;PASS
1118;J8.A82.AQT54.983;1D
944;9543.JT863.4.J93;PASS
410;6.K75.K863.T5432;PASS
902;AKQJT9.K.KJ6.K53;1C
921;Q984.763.AJ6.K84;PASS
609;QJ92.J6.A84.Q963;PASS
1011;KQ.J5.AQT52.KJ75;1N
946;T64.KT953.9.QT94;PASS
733;72.Q7.T532.98653;PASS
674;JT63.Q7.QT872.A4;PASS
555;AQJ5.JT653.2.T53;PASS
592;5.AJT54.J87654.A;1H
510;T984.97.A42.AQ75;PASS
978;J53.KT6.A974.A64;1C
773;T5.84.AQ87.T8632;PASS
1091;J52.852.T76.AT85;PASS
790;AKJT974.A975.A.9;1C
430;KJT.532.982.K962;PASS
1139;QJT..AKQ986.J987;1D
302;AK8763.752.T8.53;PASS
266;A7.J963.T62.QJT4;PASS
97;KT72.AK6.3.J8732;1C
829;J5.KJ732.QJ3.742;PASS
45;Q87.K983.AQ6.643;PASS
291;KT5.A98732.AK6.3;1H
96;K986.K8642.Q4.94;PASS
621;A9.AQT98.T942.J2;PASS
760;AQ72.4.KT42.AQ82;1D
920;QT987.A2.Q6.KT64;1S
1040;.Q76.JT9874.AQ42;PASS
605;AQJ4.9.Q43.J8753;PASS
196;84.AJ8732.QT2.T6;2D
491;QJ932.AK.Q952.A2;1S
445;A6.T96.Q75.K9543;PASS
1121;AT53.A65.J85.K83;1C
31;Q974.AQ92.QJ2.83;1C
988;653.K3.J8754.K42;PASS
162;J987.842.K.KQ652;PASS
896;J72.432.JT4.T632;PASS
861;Q7.K64.AQ76.A872;1N
579;Q5.QJ7.AJ52.A987;1C
155;AK84.A84.AQ4.853;1N
1096;Q98432.JT.J.AK97;1S
1145;Q83.K65.9532.J87;PASS
166;763.AJ74.K982.AK;1N
704;Q98.K62.K96.K954;PASS
264;AJ43.95.AK64.AK9;1C
1199;J9763.AK62.4.J94;PASS
70;QT6.AT92.Q95.T64;PASS
488;T873.AQT64.J6.J5;PASS
931;AT873.T7.K32.AQ8;1S
610;6.J87.QT632.AQT8;PASS
1059;AQ65.A.AT984.A97;1C
767;A983.5.QJ98.A963;PASS
66;Q8.QT6.QT7.AJ754;1C
768;932.8.K8743.AKT4;PASS
625;AJ2.Q98432.6.K63;PASS
1038;A4.AKJ632.T.K753;1H
446;87.QT98.AT94.853;PASS
398;Q2.KT84.J87.A853;PASS
80;AQ852.AQT76.AQ4.;1C
854;JT9.QT2.AT42.T62;PASS
76;9.AK763.AJ.KJT96;1H
622;976.J98.AJ3.K653;PASS
905;KJ43.AKT53.KQT.K;1C
465;94.T8732.AJ84.53;PASS
114;9642.J92.KQ32.93;PASS
342;KT2.982.K9.AT972;PASS
153;K83.832.97.KQT75;PASS
601;QT9.J9872.T.AJ85;PASS
548;5.A8743.QJ3.AT92;PASS
1081;T73.QJ8.KQ842.Q5;PASS
1045;QJ2.T872.AQ843.4;PASS
528;Q82.T42.KJ.AQT42;1C
256;543.K743.AQ86.87;PASS
497;A963.T87.Q.AJ862;PASS
1117;AJ654.92.AKT65.T;1S
220;KJ8432.4.K76.KQ8;1S
1080;J3.K862.KQ8.J864;PASS
512;T8.AJT87.A73.T96;PASS
834;JT4.AT95.AK9.986;1C
413;8432.A32.T98.632;PASS
366;AT82.AK7.AQJ2.64;1C
608;876.J32.AQ942.76;PASS
1103;K98532.AT4.A.532;1S
577;AT98.Q975.K72.95;PASS
784;K93.QJ43.AJT872.;1D
1178;A3.K98..KQJT8532;1C
369;J8.732.AK985.K82;PASS
836;J62.T76.KJT6432.;3D
867;KQ73.KQJ.J82.Q76;1C
271;Q73.AQ9754.4.AJ3;1H
492;Q.J98754.AQ9.Q92;PASS
872;Q6.AJT83.Q876.A4;1H
135;KQ4.9.QJ92.K9763;1D
461;T8732.32.QT6.KT4;PASS
241;KJ8.QT8.Q42.Q842;PASS
708;KT.T975.KQ63.943;PASS
368;AQT72.9.QJ5.JT74;PASS
880;J75.54.KT97.JT97;PASS
306;K9.K52.KT7.A7543;1C
432;742.8652.AQT9.J6;PASS
263;72.AQJ9.T752.T73;PASS
799;AJ65.AQ62.J654.8;1D
100;A98764.84.KJ.J76;PASS
778;AQ5.5.JT6432.A87;1D
928;AJ74.Q87.KJT4.K7;1C
1044;9.Q864.K854.KQ96;PASS
1194;86.AK974.QJT3.J3;1H
995;JT8732.85.6.AKJ9;2D
364;Q.AKT86.K654.KT2;1H
1157;A6543.J7.43.KT82;PASS
1206;A2.Q98752.AJ4.A8;1H
792;T2.AJT943.AT4.A9;1H
513;KQ9.642.87.AT875;PASS
313;87.96.AKJT96.Q52;PASS
420;AKT2.87.43.KQ874;2C
46;KQT73.A74.J976.Q;1S
651;KQ653.AQ73.K3.T5;1S
810;AJ2.K854.K65.984;PASS
276;T653.Q.A2.A97643;PASS
772;J85.J93.432.KT82;PASS
298;KJT8732..AK7.AT4;1S
828;AKT93.A3.KT7.KQ4;1C
1088;KQ83.92.9873.KQT;PASS
260;J7654.AJ5.T8.874;PASS
820;AQJ6542.A.J82.97;1S
359;K74.97532.J75.J8;PASS
144;A8.73.AQJ965.KT2;1N
317;J8.K52.9842.A942;PASS
914;AJ932.6.KT642.T2;2S
699;A852.KJ832.A.T93;1H
745;86.T84.K83.KT942;PASS
981;J832.AK65.QJ.K97;1C
335;K9542.T654.K2.A6;PASS
388;JT54.AJT43.T5.Q2;PASS
1177;K65.T73.AJ6.T974;PASS
450;986.972.J76.7654;PASS
500;Q82.KQJ4.J9.AKT3;1N
424;KJ92.A6.AJ832.Q7;1D
20;KT.J9743.T3.T653;PASS
837;AKQJ952.KJT.53.Q;1S
150;QJT5.A8.874.AKJ4;1N
752;AK.Q97652.K94.J7;1H
935;QJ8.A93.8753.AJ5;1C
35;J92.AK9.J83.AKQ8;1C
81;AKJ4.T75.85.AQJ5;1N
391;9732.4.AQJ765.Q8;PASS
165;AQ5.QJ.852.AJ642;1C
1055;K654.KT973.2.984;2H
1025;8.75.QJ9653.AQ97;PASS
484;A9.AJ3.KJ9.JT652;1C
973;J952.T2.KQT7.T84;PASS
1190;K542.AQJ96.A.542;1H
855;87.K762.QJ7643.9;PASS
729;QT96.QT854.98.AK;1H
703;Q9.AKQ7.J9752.Q5;1D
1064;J543.8654..J8432;PASS
295;T732.J7632.J.J75;PASS
1046;62.T.AKQ96.AK984;1D
573;J983.T432.82.AQJ;PASS
647;AKJT8642.94.98.A;1S
25;32.JT9.A983.AQJ3;1C
1135;QT62.93.AJ865.A5;1D
210;J73.K87654.74.KJ;PASS
214;K952.KQ7.Q73.T87;PASS
876;QJT875.A7.J.KT43;1S
740;96.AQ95.JT9.A876;PASS
355;96542.KQ73.6.QT7;PASS
1131;T64.T32.KT64.Q83;PASS
468;AK7.2.A983.KQT54;1C
631;952.AKT65.98.Q83;PASS
436;QJ72.5.AQT87.KT3;1D
726;982.J853.QJT2.T5;PASS
108;KQT872.QT52.K2.5;1S
172;JT92.A9876.K9.54;PASS
360;AQ97.53.KQ63.AQ4;1N
508;AJ7.94.753.AT952;PASS
42;9653.QJ6.Q42.432;PASS
358;KJ62.K98.AQ974.8;1D
757;8543.Q73.T74.T93;PASS
102;J7.Q8653.Q94.KT7;PASS
148;J.AK765.AKJ643.4;1H
842;J75.T9.AK75.KQJ6;1C
599;974.QT4.T98.Q864;PASS
877;54.AK32.T95.KQT2;1C
614;J9875.J765.AT4.Q;PASS
463;J963.8.J97.AQJ42;PASS
86;Q32.AJ54.K974.J2;PASS
971;QT76.K85.AQJ86.J;1D
262;K85.KJ8.QJ832.98;PASS
234;Q86.732.AJT.AKJ8;1N
1007;QT8.8.AQ5.AKJT63;1C
24;KT4.KQJ94.K2.Q52;1N
71;A2.A5.K32.K97432;1N
698;A85.832.A85.8432;PASS
29;AKT.K4.3.J875432;2C
966;K87632.65.T9.T92;PASS
225;AKQT62.QJ3.KJ97.;1S
795;KQT76.KQ5.AK5.74;1C
16;T97.A832.T.AJ963;PASS
884;KQ4.765.9872.AT2;PASS
952;J.AKQT83.KJ94.QJ;1H
396;765.AT92.QT2.A97;PASS
223;AQ4.A8753.983.A5;1H
41;QJ87.853.K63.AJ7;PASS
347;J6.6432.AQT52.QT;PASS
710;KQJT87.3.QJ4.J95;2D
909;K875.3.Q652.AKT5;1D
736;KT.AT3.J985.J764;PASS
744;5.A3.Q943.976543;PASS
340;98752.K.Q9753.T3;PASS
831;93.Q643.KQ754.97;PASS
120;.J8.QJT5.QJ87642;3C
1033;Q752.J43.J63.KT8;PASS
1132;J842.J74.K.AKQ52;2C
1152;K.J98753.K743.J9;PASS
300;J97642.T6.A73.J6;PASS
1204;A6.63.A963.KJ642;1D
151;AT763.AQ7.4.AT64;1S
655;754.T96.J87642.8;PASS
661;AQT85.96.8764.83;PASS
1209;KJT7.T62.8.KJ985;PASS
284;A98.Q4.A63.QT632;1C
1004;.QJ43.J72.AKQT43;2C
1120;.84.JT653.AKJ943;2N
1006;63.A5.KJ9654.J65;3D
587;765.JT7.JT72.Q52;PASS
15;J95.AT9.A9854.54;PASS
863;QJ.2.AJT754.AKJ8;1D
819;73.K5.AT76.KQ875;1D
55;A732.Q953.J8.T72;PASS
85;7652.A3.K76.J962;PASS
844;Q97632.8.A98.T75;PASS
950;653.KT9543.2.643;PASS
181;Q93.73.T6.AQJ984;2C
215;K53.K83.Q86.A874;1C
405;97.A97.98652.KJT;PASS
232;T97.AK64.72.7653;PASS
275;764.AQ3.AJT8.K84;1C
416;97.62.542.AKQJ83;2C
695;84.J954.T7632.63;PASS
901;KJ5.72.T96.Q7653;PASS
106;K54.T65.K43.8754;PASS
654;J6.KT984.854.J74;PASS
636;JT32.K97.732.T87;PASS
249;AK4.Q64.Q9.K7643;1C
361;T63.Q82.AT72.QJT;PASS
489;QT3.AT.A74.J9643;PASS
184;KQJ2.QT73.92.983;PASS
462;983.A542.J7654.A;PASS
333;QT74.AJ543.A.T43;PASS
1113;T654.876.QJ.AKJ4;PASS
806;A96.AK974..K8765;1H
160;KQ532.876.73.T76;PASS
684;KQJ8654.72.Q7.AT;1S
645;Q.A.AKJ98.AT9654;1D
218;6542.Q92.AJ.KQJ7;1C
202;974.QJ875.A95.62;PASS
1203;5.T94.AK93.KJ984;1D
122;72.AK82.AQT3.A65;1C
681;64.KJ3.KQ732.543;PASS
409;T73.Q952.QT6.873;PASS
72;A987.A4.9832.832;PASS
585;KT92.K7532.Q6.J7;PASS
423;J63.Q85.Q952.AJ5;PASS
888;K98754.32..QJ654;2S
1024;85.AJ87.J743.A75;PASS
414;A3.AT754.T864.JT;PASS
198;QT2.QT.KT852.874;PASS
770;A742.Q97.K97.432;PASS
365;JT92.954.T95.AT9;PASS
477;AJ8.KT32.T87.QJ2;PASS
618;A8754.QJ9.JT95.4;PASS
797;KJ752.A.J3.AKJ85;1S
502;Q2.J63.T873.J986;PASS
963;AKQJ9874.J.A4.65;1S
630;QJ.AJ4.AKJ8.AQ43;1C
957;5.6.AK54.AKQ8532;1C
916;AJ52.98.AJT53.53;PASS
1017;AQ84.A983.J5.K82;1C
975;AKQ.AT.KT95.JT92;1N
212;7.Q854.KT8763.62;PASS
1074;AQ6.T42.AJT3.K92;1C
495;AKQJT8752.3..432;1S
149;Q954.A97653.J.K9;PASS
912;A43.K865.32.AT75;PASS
504;AJ87.7.T984.K932;PASS
871;75.865.J9653.J72;PASS
483;9876432.AK.KQT9.;1S
321;T84.QJ94.9763.92;PASS
89;KT7.KJT43.742.T8;PASS
1018;QJ8732.Q82.J97.Q;2D
761;AJ9764.KQ.K83.A5;1C
